51,0,0.508664,-0.189053,1.86824,-nan,-nan,-nan
52,0,0.501823,-0.188469,1.87473,-nan,-nan,-nan
53,0,0.498108,-0.186725,1.87857,-nan,-nan,-nan
54,0,0.502274,-0.188301,1.87943,-nan,-nan,-nan
56,0,0.50637,-0.187761,1.86723,-nan,-nan,-nan
57,0,0.504317,-0.187392,1.87402,-nan,-nan,-nan
58,0,0.504677,-0.189751,1.87269,-nan,-nan,-nan
59,0,0.503696,-0.19079,1.87318,-nan,-nan,-nan
60,0,0.507551,-0.190194,1.8673,-0.00312482,0.411238,1.8054
61,0,0.499245,-0.187487,1.87661,-0.00312482,0.411238,1.8054
62,0,0.502322,-0.189046,1.87058,-0.00312482,0.411238,1.8054
63,0,0.50093,-0.189389,1.87212,-0.00312482,0.411238,1.8054
64,0,0.502187,-0.188815,1.8708,-0.00312482,0.411238,1.8054
65,0,0.502994,-0.188402,1.86922,-0.00312482,0.411238,1.8054
66,0,0.500621,-0.187695,1.87643,-0.00312482,0.411238,1.8054
67,0,0.503236,-0.187695,1.87222,-0.00312482,0.411238,1.8054
68,0,0.499844,-0.188298,1.87516,-0.00312482,0.411238,1.8054
69,0,0.503559,-0.187746,1.87208,-0.00312482,0.411238,1.8054
70,0,0.502633,-0.187839,1.8736,-0.00312482,0.411238,1.8054
71,0,0.502778,-0.188723,1.87607,-0.00312482,0.411238,1.8054
72,0,0.503528,-0.190026,1.8677,-0.00312482,0.411238,1.8054
73,0,0.501559,-0.186977,1.87183,-0.00312482,0.411238,1.8054
74,0,0.5045,-0.187812,1.87468,-0.00312482,0.411238,1.8054
75,0,0.500777,-0.187513,1.87567,-0.00312482,0.411238,1.8054
76,0,0.501629,-0.188819,1.87364,-0.00312482,0.411238,1.8054
77,0,0.500288,-0.188184,1.87729,-0.00312482,0.411238,1.8054
78,0,0.49967,-0.186617,1.87538,-0.00312482,0.411238,1.8054
79,0,0.501388,-0.188203,1.87418,-0.00312482,0.411238,1.8054
80,0,0.501288,-0.18864,1.87387,-0.00312482,0.411238,1.8054
81,0,0.49974,-0.186996,1.87673,-0.00312482,0.411238,1.8054
82,0,0.499568,-0.186598,1.87746,-0.00312482,0.411238,1.8054
83,0,0.497047,-0.185696,1.88207,-0.00312482,0.411238,1.8054
84,0,0.504025,-0.186271,1.87685,-0.00312482,0.411238,1.8054
85,0,0.498369,-0.186744,1.87695,-0.00312482,0.411238,1.8054
86,0,0.504888,-0.188405,1.87186,-0.00312482,0.411238,1.8054
87,0,0.499947,-0.185923,1.87115,-0.00312482,0.411238,1.8054
88,0,0.498008,-0.185299,1.87106,-0.00312482,0.411238,1.8054
89,0,0.503408,-0.18773,1.87101,-0.00312482,0.411238,1.8054
90,0,0.503004,-0.187338,1.87262,-0.00312482,0.411238,1.8054
91,0,0.494489,-0.184108,1.84687,-0.00312482,0.411238,1.8054
92,0,0.492475,-0.183932,1.85168,-0.00312482,0.411238,1.8054
93,0,0.489599,-0.183194,1.85028,-0.00312482,0.411238,1.8054
94,0,0.49512,-0.184832,1.84396,-0.00312482,0.411238,1.8054
95,0,0.492066,-0.184592,1.84625,-0.00312482,0.411238,1.8054
96,0,0.493699,-0.18487,1.8457,-0.00312482,0.411238,1.8054
97,0,0.48848,-0.183867,1.85095,-0.00312482,0.411238,1.8054
98,0,0.490634,-0.185419,1.84743,-0.00312482,0.411238,1.8054
99,0,0.493487,-0.185254,1.84483,-0.00312482,0.411238,1.8054
100,0,0.490941,-0.18519,1.84622,-0.00312482,0.411238,1.8054
101,0,0.488977,-0.183785,1.84583,-0.00312482,0.411238,1.8054
102,0,0.491178,-0.184704,1.84425,-0.00312482,0.411238,1.8054
104,0,0.489241,-0.182482,1.84689,-0.00312482,0.411238,1.8054
105,0,0.486256,-0.183585,1.84852,-0.00312482,0.411238,1.8054
106,0,0.488297,-0.183347,1.84921,-0.00312482,0.411238,1.8054
107,0,0.487577,-0.184352,1.84719,-0.00312482,0.411238,1.8054
108,0,0.489078,-0.181967,1.84555,-0.00312482,0.411238,1.8054
109,0,0.489161,-0.183681,1.84798,-0.00312482,0.411238,1.8054
110,0,0.488581,-0.18319,1.85141,-0.00312482,0.411238,1.8054
111,0,0.49081,-0.183175,1.84906,-0.00312482,0.411238,1.8054
112,0,0.490481,-0.184178,1.84957,-0.00312482,0.411238,1.8054
113,0,0.489795,-0.183692,1.84896,-0.00312482,0.411238,1.8054
114,0,0.488632,-0.182758,1.84945,-0.00312482,0.411238,1.8054
115,0,0.489042,-0.184569,1.85103,-0.00312482,0.411238,1.8054
116,0,0.489777,-0.184162,1.84719,-0.00312482,0.411238,1.8054
117,0,0.489545,-0.18356,1.84695,-0.00312482,0.411238,1.8054
118,0,0.489003,-0.183214,1.84699,-0.00312482,0.411238,1.8054
