51,0,0.451097,-0.179735,1.8866,-nan,-nan,-nan
52,0,0.451933,-0.178741,1.88392,-nan,-nan,-nan
53,0,0.451456,-0.179607,1.8884,-nan,-nan,-nan
55,0,0.449383,-0.178732,1.88637,-nan,-nan,-nan
56,0,0.450938,-0.178041,1.88712,-nan,-nan,-nan
57,0,0.44945,-0.178853,1.88713,-nan,-nan,-nan
58,0,0.45049,-0.179956,1.88772,-nan,-nan,-nan
59,0,0.450448,-0.178844,1.88679,-nan,-nan,-nan
60,0,0.451361,-0.17841,1.88474,-0.034533,0.500019,1.7979
61,0,0.450791,-0.179265,1.88773,-0.034533,0.500019,1.7979
62,0,0.450847,-0.178398,1.88754,-0.034533,0.500019,1.7979
63,0,0.448876,-0.179521,1.88542,-0.034533,0.500019,1.7979
64,0,0.449335,-0.178059,1.88566,-0.034533,0.500019,1.7979
65,0,0.447932,-0.177915,1.88451,-0.034533,0.500019,1.7979
66,0,0.450055,-0.178283,1.88497,-0.034533,0.500019,1.7979
67,0,0.44916,-0.179236,1.88484,-0.034533,0.500019,1.7979
68,0,0.450056,-0.178741,1.88449,-0.034533,0.500019,1.7979
69,0,0.449493,-0.178415,1.88438,-0.034533,0.500019,1.7979
70,0,0.447271,-0.177872,1.88177,-0.034533,0.500019,1.7979
71,0,0.449245,-0.178544,1.88044,-0.034533,0.500019,1.7979
72,0,0.449045,-0.178843,1.88421,-0.034533,0.500019,1.7979
73,0,0.450192,-0.179198,1.88852,-0.034533,0.500019,1.7979
74,0,0.448004,-0.179069,1.88166,-0.034533,0.500019,1.7979
75,0,0.448995,-0.178527,1.88237,-0.034533,0.500019,1.7979
76,0,0.449902,-0.178743,1.88315,-0.034533,0.500019,1.7979
77,0,0.448984,-0.178626,1.88291,-0.034533,0.500019,1.7979
78,0,0.449735,-0.178415,1.88523,-0.034533,0.500019,1.7979
79,0,0.448941,-0.177419,1.88496,-0.034533,0.500019,1.7979
80,0,0.450738,-0.178027,1.88424,-0.034533,0.500019,1.7979
81,0,0.451553,-0.178471,1.88633,-0.034533,0.500019,1.7979
82,0,0.448495,-0.177491,1.8847,-0.034533,0.500019,1.7979
83,0,0.450023,-0.178105,1.88068,-0.034533,0.500019,1.7979
84,0,0.448154,-0.178231,1.88127,-0.034533,0.500019,1.7979
85,0,0.450182,-0.178626,1.88841,-0.034533,0.500019,1.7979
86,0,0.448982,-0.178939,1.89017,-0.034533,0.500019,1.7979
87,0,0.451289,-0.179393,1.8879,-0.034533,0.500019,1.7979
88,0,0.449683,-0.178958,1.88187,-0.034533,0.500019,1.7979
89,0,0.447601,-0.178104,1.88156,-0.034533,0.500019,1.7979
