51,0,0.452492,-0.225455,1.81771,-nan,-nan,-nan
52,0,0.453528,-0.225421,1.82012,-nan,-nan,-nan
54,0,0.457057,-0.226738,1.81664,-nan,-nan,-nan
55,0,0.455428,-0.226278,1.81708,-nan,-nan,-nan
56,0,0.457047,-0.226323,1.81582,-nan,-nan,-nan
57,0,0.453242,-0.225938,1.82022,0.061291,0.522136,1.83195
58,0,0.453818,-0.226006,1.81682,0.061291,0.522136,1.83195
59,0,0.452619,-0.225547,1.81858,0.061291,0.522136,1.83195
60,0,0.454478,-0.22616,1.81742,0.061291,0.522136,1.83195
61,0,0.452474,-0.2258,1.81769,0.061291,0.522136,1.83195
62,0,0.454468,-0.226238,1.81701,0.061291,0.522136,1.83195
63,0,0.457324,-0.226607,1.81725,0.061291,0.522136,1.83195
64,0,0.455659,-0.226887,1.81844,0.061291,0.522136,1.83195
65,0,0.458658,-0.226983,1.81751,0.061291,0.522136,1.83195
66,0,0.454206,-0.226155,1.81879,0.061291,0.522136,1.83195
67,0,0.456388,-0.226427,1.81946,0.061291,0.522136,1.83195
68,0,0.454318,-0.226205,1.81662,0.061291,0.522136,1.83195
69,0,0.456066,-0.225876,1.8183,0.061291,0.522136,1.83195
70,0,0.457112,-0.226412,1.81656,0.061291,0.522136,1.83195
71,0,0.459029,-0.226995,1.81738,0.061291,0.522136,1.83195
72,0,0.451441,-0.225834,1.81839,0.061291,0.522136,1.83195
73,0,0.45653,-0.226594,1.81755,0.061291,0.522136,1.83195
74,0,0.455916,-0.226611,1.81804,0.061291,0.522136,1.83195
75,0,0.451765,-0.225726,1.81879,0.061291,0.522136,1.83195
76,0,0.453098,-0.226025,1.8184,0.061291,0.522136,1.83195
77,0,0.457383,-0.226732,1.81737,0.061291,0.522136,1.83195
78,0,0.458819,-0.227012,1.81739,0.061291,0.522136,1.83195
79,0,0.453301,-0.226279,1.81815,0.061291,0.522136,1.83195
80,0,0.454112,-0.226615,1.82027,0.061291,0.522136,1.83195
81,0,0.453014,-0.225658,1.81929,0.061291,0.522136,1.83195
82,0,0.452134,-0.225726,1.81875,0.061291,0.522136,1.83195
83,0,0.457725,-0.226843,1.81938,0.061291,0.522136,1.83195
84,0,0.453913,-0.22633,1.81972,0.061291,0.522136,1.83195
85,0,0.457254,-0.226809,1.81686,0.061291,0.522136,1.83195
86,0,0.456796,-0.226801,1.81719,0.061291,0.522136,1.83195
87,0,0.457142,-0.22685,1.81766,0.061291,0.522136,1.83195
88,0,0.45626,-0.226648,1.81797,0.061291,0.522136,1.83195
89,0,0.454513,-0.226224,1.81999,0.061291,0.522136,1.83195
90,0,0.448144,-0.225169,1.82141,0.061291,0.522136,1.83195
91,0,0.448368,-0.22305,1.78833,0.061291,0.522136,1.83195
92,0,0.447017,-0.222596,1.79043,0.061291,0.522136,1.83195
93,0,0.449131,-0.222781,1.7904,0.061291,0.522136,1.83195
94,0,0.449473,-0.223253,1.78735,0.061291,0.522136,1.83195
95,0,0.450737,-0.223213,1.7888,0.061291,0.522136,1.83195
96,0,0.450269,-0.22358,1.7866,0.061291,0.522136,1.83195
97,0,0.444526,-0.222068,1.78975,0.061291,0.522136,1.83195
98,0,0.439504,-0.220993,1.78958,0.061291,0.522136,1.83195
99,1,0.427837,-0.217895,1.79001,0.061291,0.522136,1.83195
100,1,0.423839,-0.216324,1.78926,0.061291,0.522136,1.83195
101,1,0.432914,-0.218204,1.78937,0.061291,0.522136,1.83195
102,1,0.429692,-0.217741,1.79361,0.061291,0.522136,1.83195
103,1,0.442864,-0.220886,1.78938,0.061291,0.522136,1.83195
104,1,0.4427,-0.221077,1.7889,0.061291,0.522136,1.83195
105,1,0.448432,-0.222796,1.79105,0.061291,0.522136,1.83195
106,1,0.446528,-0.222479,1.78793,0.061291,0.522136,1.83195
107,1,0.443148,-0.221417,1.79081,0.061291,0.522136,1.83195
108,1,0.43969,-0.220392,1.78898,0.061291,0.522136,1.83195
109,1,0.439346,-0.220017,1.78941,0.061291,0.522136,1.83195
110,1,0.453425,-0.224102,1.78105,0.061291,0.522136,1.83195
111,1,0.451248,-0.222982,1.78207,0.061291,0.522136,1.83195
112,1,0.447722,-0.222372,1.78807,0.061291,0.522136,1.83195
113,1,0.445354,-0.22162,1.78646,0.061291,0.522136,1.83195
114,1,0.443675,-0.220791,1.78852,0.061291,0.522136,1.83195
115,1,0.454582,-0.224254,1.77944,0.061291,0.522136,1.83195
116,1,0.445322,-0.221306,1.78733,0.061291,0.522136,1.83195
117,1,0.445196,-0.22115,1.78665,0.061291,0.522136,1.83195
118,1,0.443731,-0.221196,1.78643,0.061291,0.522136,1.83195
119,1,0.445432,-0.221188,1.78889,0.061291,0.522136,1.83195
120,1,0.449887,-0.223202,1.78683,0.061291,0.522136,1.83195
121,1,0.44411,-0.221727,1.78859,0.061291,0.522136,1.83195
122,1,0.437571,-0.218026,1.7912,0.061291,0.522136,1.83195
123,1,0.432362,-0.212574,1.79136,0.061291,0.522136,1.83195
124,1,0.42227,-0.205381,1.79096,0.061291,0.522136,1.83195
125,1,0.412278,-0.201293,1.79473,0.061291,0.522136,1.83195
126,1,0.413929,-0.198078,1.79083,0.061291,0.522136,1.83195
127,1,0.404832,-0.193464,1.78859,0.061291,0.522136,1.83195
128,1,0.405033,-0.19,1.77814,0.061291,0.522136,1.83195
129,1,0.373836,-0.190008,1.79151,0.061291,0.522136,1.83195
130,1,0.363072,-0.189113,1.78693,0.061291,0.522136,1.83195
131,1,0.359612,-0.189444,1.78438,0.061291,0.522136,1.83195
132,1,0.3318,-0.190131,1.78918,0.061291,0.522136,1.83195
133,1,0.322935,-0.189227,1.78548,0.061291,0.522136,1.83195
134,1,0.306085,-0.188783,1.78461,0.061291,0.522136,1.83195
135,1,0.293481,-0.189896,1.77988,0.061291,0.522136,1.83195
136,1,0.279452,-0.190722,1.78098,0.061291,0.522136,1.83195
137,1,0.263523,-0.191703,1.77825,0.061291,0.522136,1.83195
138,1,0.256421,-0.191269,1.7768,0.061291,0.522136,1.83195
139,1,0.246738,-0.190823,1.77381,0.061291,0.522136,1.83195
140,1,0.243774,-0.191251,1.76517,0.061291,0.522136,1.83195
141,1,0.212871,-0.195605,1.77361,0.061291,0.522136,1.83195
142,1,0.20719,-0.196081,1.76721,0.061291,0.522136,1.83195
143,1,0.19433,-0.199373,1.76768,0.061291,0.522136,1.83195
144,1,0.188177,-0.199596,1.76605,0.061291,0.522136,1.83195
145,1,0.167909,-0.202868,1.77011,0.061291,0.522136,1.83195
146,1,0.16708,-0.20479,1.76447,0.061291,0.522136,1.83195
147,1,0.153181,-0.205163,1.76527,0.061291,0.522136,1.83195
148,1,0.144994,-0.208064,1.7636,0.061291,0.522136,1.83195
149,1,0.133755,-0.208971,1.76342,0.061291,0.522136,1.83195
150,1,0.128743,-0.211405,1.7621,0.061291,0.522136,1.83195
151,1,0.121509,-0.212535,1.7632,0.061291,0.522136,1.83195
152,1,0.109231,-0.216555,1.76539,0.061291,0.522136,1.83195
153,1,0.106006,-0.217393,1.76584,0.061291,0.522136,1.83195
154,1,0.0983166,-0.219388,1.76663,0.061291,0.522136,1.83195
155,1,0.0960985,-0.220852,1.76844,0.061291,0.522136,1.83195
156,1,0.0959536,-0.222587,1.7696,0.061291,0.522136,1.83195
157,1,0.0854342,-0.226371,1.77124,0.061291,0.522136,1.83195
158,1,0.0735021,-0.233343,1.77412,0.061291,0.522136,1.83195
159,1,0.0831432,-0.235907,1.77409,0.061291,0.522136,1.83195
160,1,0.0720921,-0.241982,1.77767,0.061291,0.522136,1.83195
161,1,0.0733114,-0.245742,1.77872,0.061291,0.522136,1.83195
162,1,0.0610986,-0.250978,1.78409,0.061291,0.522136,1.83195
163,1,0.0561553,-0.256158,1.78812,0.061291,0.522136,1.83195
164,1,0.0428821,-0.261077,1.79503,0.061291,0.522136,1.83195
165,1,0.0456649,-0.26319,1.79567,0.061291,0.522136,1.83195
166,1,0.0461492,-0.267637,1.79338,0.061291,0.522136,1.83195
167,1,0.0381793,-0.26791,1.80226,0.061291,0.522136,1.83195
168,1,0.0393395,-0.269927,1.79416,0.061291,0.522136,1.83195
169,1,0.0362631,-0.272566,1.79767,0.061291,0.522136,1.83195
170,1,0.0308344,-0.272598,1.80281,0.061291,0.522136,1.83195
171,1,0.0315025,-0.27333,1.7975,0.061291,0.522136,1.83195
172,1,0.0322462,-0.272677,1.80068,0.061291,0.522136,1.83195
173,1,0.0377332,-0.273465,1.79612,0.061291,0.522136,1.83195
174,1,0.0337912,-0.273425,1.80325,0.061291,0.522136,1.83195
175,1,0.0344175,-0.274781,1.79924,0.061291,0.522136,1.83195
176,1,0.0368255,-0.274893,1.79541,0.061291,0.522136,1.83195
177,1,0.0285491,-0.273083,1.80046,0.061291,0.522136,1.83195
178,1,0.026376,-0.272951,1.79989,0.061291,0.522136,1.83195
179,1,0.0197827,-0.273946,1.79683,0.061291,0.522136,1.83195
180,1,0.0283417,-0.273079,1.79169,0.061291,0.522136,1.83195
181,1,0.0199211,-0.275111,1.80272,0.061291,0.522136,1.83195
182,1,0.0138142,-0.275559,1.80594,0.061291,0.522136,1.83195
183,1,0.0115271,-0.274444,1.8118,0.061291,0.522136,1.83195
184,1,0.00615183,-0.273609,1.80855,0.061291,0.522136,1.83195
185,1,0.00148658,-0.273727,1.80978,0.061291,0.522136,1.83195
186,1,-0.00550422,-0.273534,1.80707,0.061291,0.522136,1.83195
187,1,-0.00964319,-0.272992,1.8099,0.061291,0.522136,1.83195
188,1,-0.0101096,-0.273126,1.81075,0.061291,0.522136,1.83195
189,1,-0.0149907,-0.272517,1.81118,0.061291,0.522136,1.83195
190,1,-0.0281354,-0.268549,1.81442,0.061291,0.522136,1.83195
191,1,-0.0209902,-0.272277,1.81292,0.061291,0.522136,1.83195
192,1,-0.0245022,-0.271297,1.8141,0.061291,0.522136,1.83195
193,1,-0.0240965,-0.271886,1.81334,0.061291,0.522136,1.83195
194,1,-0.0305919,-0.271427,1.80983,0.061291,0.522136,1.83195
195,1,-0.0348817,-0.269646,1.8085,0.061291,0.522136,1.83195
196,1,-0.0325998,-0.270396,1.81033,0.061291,0.522136,1.83195
197,1,-0.0321814,-0.270371,1.81241,0.061291,0.522136,1.83195
198,1,-0.0324474,-0.269974,1.81266,0.061291,0.522136,1.83195
199,1,-0.0298259,-0.270806,1.81104,0.061291,0.522136,1.83195
200,1,-0.0270816,-0.271766,1.81047,0.061291,0.522136,1.83195
201,1,-0.0321271,-0.27098,1.81003,0.061291,0.522136,1.83195
202,1,-0.0291122,-0.269969,1.81243,0.061291,0.522136,1.83195
203,1,-0.0270397,-0.26999,1.80848,0.061291,0.522136,1.83195
204,1,-0.0282455,-0.27049,1.80404,0.061291,0.522136,1.83195
205,1,-0.0333652,-0.268147,1.80367,0.061291,0.522136,1.83195
206,1,-0.026244,-0.269381,1.80409,0.061291,0.522136,1.83195
207,1,-0.0315378,-0.26764,1.80287,0.061291,0.522136,1.83195
208,1,-0.0233006,-0.269501,1.8043,0.061291,0.522136,1.83195
209,1,-0.0175107,-0.271553,1.80441,0.061291,0.522136,1.83195
210,1,-0.0175708,-0.26931,1.80715,0.061291,0.522136,1.83195
211,1,-0.0125918,-0.271552,1.80411,0.061291,0.522136,1.83195
212,1,-0.00789961,-0.271968,1.80548,0.061291,0.522136,1.83195
213,1,-0.00339635,-0.27138,1.80549,0.061291,0.522136,1.83195
214,1,0.00174693,-0.273352,1.80564,0.061291,0.522136,1.83195
215,1,0.00470458,-0.272485,1.80026,0.061291,0.522136,1.83195
216,1,-0.0283078,-0.252429,1.77414,0.061291,0.522136,1.83195
217,1,0.0147794,-0.273879,1.80142,0.061291,0.522136,1.83195
218,1,0.0130097,-0.271744,1.80391,0.061291,0.522136,1.83195
219,1,0.0207859,-0.275288,1.80242,0.061291,0.522136,1.83195
220,1,0.0245482,-0.27712,1.80381,0.061291,0.522136,1.83195
221,1,0.0198049,-0.275041,1.80677,0.061291,0.522136,1.83195
222,1,0.0154748,-0.273645,1.8042,0.061291,0.522136,1.83195
223,1,0.0250387,-0.27609,1.80438,0.061291,0.522136,1.83195
224,1,0.0216501,-0.274954,1.80511,0.061291,0.522136,1.83195
225,1,0.0224906,-0.274682,1.8052,0.061291,0.522136,1.83195
226,1,0.0237688,-0.275957,1.8042,0.061291,0.522136,1.83195
227,1,0.0244406,-0.275944,1.80457,0.061291,0.522136,1.83195
228,1,0.0213542,-0.274638,1.7985,0.061291,0.522136,1.83195
229,1,0.0124795,-0.273923,1.80356,0.061291,0.522136,1.83195
230,1,0.0165631,-0.275833,1.80696,0.061291,0.522136,1.83195
231,1,0.014962,-0.275912,1.8119,0.061291,0.522136,1.83195
232,1,0.0113372,-0.275517,1.81219,0.061291,0.522136,1.83195
233,1,0.00481927,-0.27454,1.81381,0.061291,0.522136,1.83195
234,1,0.00188421,-0.274521,1.81066,0.061291,0.522136,1.83195
235,1,-0.00204055,-0.273973,1.80993,0.061291,0.522136,1.83195
236,1,-0.0102072,-0.272335,1.81103,0.061291,0.522136,1.83195
237,1,-0.0120527,-0.273539,1.81005,0.061291,0.522136,1.83195
238,1,-0.0128133,-0.273225,1.81165,0.061291,0.522136,1.83195
239,1,-0.0161383,-0.273147,1.81016,0.061291,0.522136,1.83195
240,1,-0.0207277,-0.272699,1.81036,0.061291,0.522136,1.83195
241,1,-0.0214387,-0.272022,1.80993,0.061291,0.522136,1.83195
242,1,-0.0248244,-0.271506,1.80873,0.061291,0.522136,1.83195
243,1,-0.0279075,-0.271093,1.81119,0.061291,0.522136,1.83195
244,1,-0.0266687,-0.272678,1.81047,0.061291,0.522136,1.83195
245,1,-0.0331947,-0.271342,1.80736,0.061291,0.522136,1.83195
246,1,-0.0327207,-0.270854,1.81003,0.061291,0.522136,1.83195
247,1,-0.0342111,-0.270479,1.80459,0.061291,0.522136,1.83195
248,1,-0.0311715,-0.271864,1.80544,0.061291,0.522136,1.83195
249,1,-0.0317725,-0.27103,1.80758,0.061291,0.522136,1.83195
250,1,-0.0327066,-0.269402,1.80609,0.061291,0.522136,1.83195
251,1,-0.0267635,-0.270354,1.80917,0.061291,0.522136,1.83195
252,1,-0.0240968,-0.271173,1.81121,0.061291,0.522136,1.83195
253,1,-0.0229409,-0.270913,1.80512,0.061291,0.522136,1.83195
254,1,-0.022284,-0.269831,1.80457,0.061291,0.522136,1.83195
255,1,-0.015506,-0.270809,1.81072,0.061291,0.522136,1.83195
256,1,-0.0144698,-0.271087,1.8075,0.061291,0.522136,1.83195
257,1,-0.00959613,-0.272435,1.80817,0.061291,0.522136,1.83195
258,1,-0.00826326,-0.272213,1.80862,0.061291,0.522136,1.83195
259,1,-0.00322077,-0.272295,1.80745,0.061291,0.522136,1.83195
260,1,-0.00192473,-0.272446,1.80687,0.061291,0.522136,1.83195
261,1,0.00113705,-0.270673,1.80802,0.061291,0.522136,1.83195
262,1,-0.00329142,-0.272256,1.80214,0.061291,0.522136,1.83195
263,1,0.00360978,-0.270891,1.79873,0.061291,0.522136,1.83195
264,1,-0.0244355,-0.245434,1.74338,0.061291,0.522136,1.83195
265,1,0.0158672,-0.273004,1.80702,0.061291,0.522136,1.83195
266,1,0.022905,-0.27319,1.80323,0.061291,0.522136,1.83195
267,1,0.0238725,-0.27303,1.81602,0.061291,0.522136,1.83195
268,1,0.0179868,-0.274014,1.80421,0.061291,0.522136,1.83195
