51,0,0.396824,-0.20505,1.82257,-nan,-nan,-nan
52,0,0.398048,-0.20153,1.83161,-nan,-nan,-nan
54,0,0.399036,-0.204524,1.82166,-nan,-nan,-nan
55,0,0.398373,-0.20628,1.81869,-nan,-nan,-nan
56,0,0.397243,-0.203328,1.82912,-nan,-nan,-nan
57,0,0.397979,-0.205169,1.82183,-nan,-nan,-nan
58,0,0.396207,-0.206563,1.82151,-nan,-nan,-nan
60,0,0.398906,-0.203899,1.82164,-nan,-nan,-nan
61,0,0.395789,-0.204884,1.82179,0.510454,0.448995,1.84885
62,0,0.397506,-0.205291,1.82378,0.510454,0.448995,1.84885
63,0,0.397975,-0.201762,1.82989,0.510454,0.448995,1.84885
64,0,0.397974,-0.204712,1.82427,0.510454,0.448995,1.84885
65,0,0.398191,-0.204848,1.8225,0.510454,0.448995,1.84885
66,0,0.398073,-0.20484,1.82224,0.510454,0.448995,1.84885
67,0,0.396542,-0.204599,1.82156,0.510454,0.448995,1.84885
68,0,0.398209,-0.203972,1.82147,0.510454,0.448995,1.84885
69,0,0.396937,-0.206008,1.82224,0.510454,0.448995,1.84885
70,0,0.398031,-0.205296,1.82243,0.510454,0.448995,1.84885
71,0,0.397346,-0.204944,1.82192,0.510454,0.448995,1.84885
72,0,0.395616,-0.205527,1.82305,0.510454,0.448995,1.84885
73,0,0.397567,-0.205494,1.82376,0.510454,0.448995,1.84885
74,0,0.397856,-0.202898,1.82948,0.510454,0.448995,1.84885
75,0,0.396228,-0.205245,1.82307,0.510454,0.448995,1.84885
76,0,0.396436,-0.203382,1.829,0.510454,0.448995,1.84885
77,0,0.398026,-0.202966,1.82838,0.510454,0.448995,1.84885
78,0,0.398571,-0.204684,1.82346,0.510454,0.448995,1.84885
79,0,0.397708,-0.205146,1.82209,0.510454,0.448995,1.84885
80,0,0.39893,-0.201865,1.82927,0.510454,0.448995,1.84885
81,0,0.398312,-0.204679,1.82287,0.510454,0.448995,1.84885
82,0,0.398042,-0.204621,1.82421,0.510454,0.448995,1.84885
83,0,0.398849,-0.205137,1.82257,0.510454,0.448995,1.84885
84,0,0.397598,-0.20324,1.82918,0.510454,0.448995,1.84885
85,0,0.397521,-0.204844,1.8237,0.510454,0.448995,1.84885
86,0,0.398156,-0.205635,1.82327,0.510454,0.448995,1.84885
87,0,0.398362,-0.203271,1.83049,0.510454,0.448995,1.84885
88,0,0.398867,-0.203956,1.82708,0.510454,0.448995,1.84885
89,0,0.398096,-0.202924,1.8293,0.510454,0.448995,1.84885
90,0,0.398573,-0.203522,1.829,0.510454,0.448995,1.84885
91,0,0.39857,-0.202667,1.83144,0.510454,0.448995,1.84885
92,0,0.399305,-0.204052,1.82278,0.510454,0.448995,1.84885
93,0,0.393575,-0.203191,1.80287,0.510454,0.448995,1.84885
94,0,0.3942,-0.204074,1.79909,0.510454,0.448995,1.84885
95,0,0.392477,-0.20526,1.79785,0.510454,0.448995,1.84885
96,0,0.393318,-0.203508,1.80452,0.510454,0.448995,1.84885
97,0,0.394745,-0.199675,1.81076,0.510454,0.448995,1.84885
98,0,0.39331,-0.200107,1.81011,0.510454,0.448995,1.84885
99,0,0.39339,-0.202654,1.8018,0.510454,0.448995,1.84885
100,0,0.3941,-0.202895,1.80266,0.510454,0.448995,1.84885
101,0,0.392876,-0.204337,1.79742,0.510454,0.448995,1.84885
102,0,0.393649,-0.204194,1.79695,0.510454,0.448995,1.84885
103,0,0.392677,-0.202671,1.80239,0.510454,0.448995,1.84885
104,0,0.392945,-0.203078,1.80306,0.510454,0.448995,1.84885
105,0,0.393129,-0.200123,1.80722,0.510454,0.448995,1.84885
106,0,0.392488,-0.203229,1.80142,0.510454,0.448995,1.84885
107,0,0.391824,-0.204197,1.79609,0.510454,0.448995,1.84885
108,0,0.392048,-0.20334,1.79957,0.510454,0.448995,1.84885
109,0,0.393419,-0.202712,1.79964,0.510454,0.448995,1.84885
110,0,0.393941,-0.201924,1.80255,0.510454,0.448995,1.84885
111,0,0.39262,-0.203201,1.80167,0.510454,0.448995,1.84885
112,0,0.393075,-0.203097,1.80143,0.510454,0.448995,1.84885
113,0,0.393912,-0.202735,1.80174,0.510454,0.448995,1.84885
114,0,0.392923,-0.202396,1.80287,0.510454,0.448995,1.84885
115,0,0.393985,-0.199905,1.80984,0.510454,0.448995,1.84885
116,0,0.393842,-0.201052,1.80687,0.510454,0.448995,1.84885
117,0,0.392123,-0.203335,1.80214,0.510454,0.448995,1.84885
118,0,0.392385,-0.202923,1.80345,0.510454,0.448995,1.84885
119,0,0.392812,-0.202761,1.8035,0.510454,0.448995,1.84885
120,0,0.392947,-0.203346,1.80321,0.510454,0.448995,1.84885
121,0,0.391511,-0.196011,1.81268,0.510454,0.448995,1.84885
122,0,0.392762,-0.197601,1.81221,0.510454,0.448995,1.84885
123,0,0.393759,-0.203219,1.8046,0.510454,0.448995,1.84885
124,0,0.394039,-0.197748,1.8106,0.510454,0.448995,1.84885
125,0,0.39352,-0.202363,1.80314,0.510454,0.448995,1.84885
126,0,0.392836,-0.199954,1.80979,0.510454,0.448995,1.84885
127,0,0.392886,-0.199942,1.80912,0.510454,0.448995,1.84885
128,0,0.394091,-0.199279,1.81099,0.510454,0.448995,1.84885
129,0,0.39387,-0.196067,1.81372,0.510454,0.448995,1.84885
130,0,0.392979,-0.199441,1.81126,0.510454,0.448995,1.84885
131,0,0.392814,-0.199319,1.81245,0.510454,0.448995,1.84885
132,0,0.392062,-0.200317,1.80937,0.510454,0.448995,1.84885
133,0,0.391991,-0.200831,1.81091,0.510454,0.448995,1.84885
134,0,0.39135,-0.199924,1.81082,0.510454,0.448995,1.84885
135,0,0.392139,-0.200852,1.81027,0.510454,0.448995,1.84885
136,0,0.392433,-0.194203,1.81828,0.510454,0.448995,1.84885
137,0,0.391752,-0.195485,1.81875,0.510454,0.448995,1.84885
138,0,0.392884,-0.197429,1.81229,0.510454,0.448995,1.84885
139,0,0.393987,-0.194324,1.81884,0.510454,0.448995,1.84885
