51,0,0.481266,-0.215005,1.86467,-nan,-nan,-nan
52,0,-nan,-nan,-nan,-nan,-nan,-nan
53,0,0.480042,-0.215362,1.863,-nan,-nan,-nan
55,0,0.480077,-0.217611,1.88008,-nan,-nan,-nan
56,0,-nan,-nan,-nan,-nan,-nan,-nan
57,0,-nan,-nan,-nan,-nan,-nan,-nan
58,0,0.479534,-0.215984,1.88057,-nan,-nan,-nan
59,0,-nan,-nan,-nan,-nan,-nan,-nan
60,0,-nan,-nan,-nan,-nan,-nan,-nan
62,0,-nan,-nan,-nan,-nan,-nan,-nan
63,0,-nan,-nan,-nan,-nan,-nan,-nan
64,0,0.481832,-0.213728,1.863,-nan,-nan,-nan
65,0,-nan,-nan,-nan,-nan,-nan,-nan
66,0,-nan,-nan,-nan,-nan,-nan,-nan
67,0,-nan,-nan,-nan,-nan,-nan,-nan
69,0,-nan,-nan,-nan,-nan,-nan,-nan
70,0,-nan,-nan,-nan,-nan,-nan,-nan
71,0,-nan,-nan,-nan,-nan,-nan,-nan
72,0,-nan,-nan,-nan,-nan,-nan,-nan
73,0,0.480711,-0.2179,1.88258,-nan,-nan,-nan
74,0,-nan,-nan,-nan,-nan,-nan,-nan
76,0,0.485263,-0.213148,1.85664,-nan,-nan,-nan
77,0,-nan,-nan,-nan,-nan,-nan,-nan
78,0,0.480227,-0.214252,1.8605,-nan,-nan,-nan
79,0,-nan,-nan,-nan,-nan,-nan,-nan
80,0,0.480718,-0.217905,1.88258,-nan,-nan,-nan
82,0,-nan,-nan,-nan,-nan,-nan,-nan
83,0,0.479613,-0.217404,1.87825,-nan,-nan,-nan
84,0,-nan,-nan,-nan,-nan,-nan,-nan
85,0,-nan,-nan,-nan,-nan,-nan,-nan
86,0,-nan,-nan,-nan,-nan,-nan,-nan
87,0,-nan,-nan,-nan,-nan,-nan,-nan
89,0,0.480405,-0.215087,1.87322,-nan,-nan,-nan
90,0,-nan,-nan,-nan,-nan,-nan,-nan
91,0,-nan,-nan,-nan,-nan,-nan,-nan
92,0,0.472136,-0.214014,1.849,-nan,-nan,-nan
93,0,-nan,-nan,-nan,-nan,-nan,-nan
95,0,0.471895,-0.213066,1.8432,-nan,-nan,-nan
96,0,-nan,-nan,-nan,-nan,-nan,-nan
97,0,0.479878,-0.21,1.83129,-nan,-nan,-nan
98,0,0.47181,-0.212503,1.85029,-nan,-nan,-nan
99,0,0.483059,-0.211908,1.82392,-nan,-nan,-nan
100,0,0.471779,-0.212429,1.84813,-nan,-nan,-nan
101,0,-nan,-nan,-nan,-nan,-nan,-nan
102,0,-nan,-nan,-nan,-nan,-nan,-nan
104,0,-nan,-nan,-nan,-nan,-nan,-nan
105,0,0.47145,-0.212338,1.84886,-nan,-nan,-nan
106,0,0.471447,-0.212338,1.84886,-nan,-nan,-nan
107,0,-nan,-nan,-nan,-nan,-nan,-nan
108,0,-nan,-nan,-nan,-nan,-nan,-nan
109,0,0.471693,-0.211608,1.83983,-nan,-nan,-nan
111,0,-nan,-nan,-nan,-nan,-nan,-nan
112,0,-nan,-nan,-nan,-nan,-nan,-nan
113,0,-nan,-nan,-nan,-nan,-nan,-nan
114,0,0.471416,-0.21174,1.841,-nan,-nan,-nan
115,0,-nan,-nan,-nan,-nan,-nan,-nan
116,0,-nan,-nan,-nan,-nan,-nan,-nan
118,0,-nan,-nan,-nan,-nan,-nan,-nan
119,0,0.472719,-0.212412,1.83757,-nan,-nan,-nan
120,0,-nan,-nan,-nan,-nan,-nan,-nan
121,0,-nan,-nan,-nan,-nan,-nan,-nan
122,0,0.472348,-0.214112,1.84983,-nan,-nan,-nan
124,0,-nan,-nan,-nan,-nan,-nan,-nan
125,0,0.482531,-0.209637,1.82556,-nan,-nan,-nan
126,0,-nan,-nan,-nan,-nan,-nan,-nan
127,0,-nan,-nan,-nan,-nan,-nan,-nan
128,0,-nan,-nan,-nan,-nan,-nan,-nan
129,0,-nan,-nan,-nan,-nan,-nan,-nan
130,0,0.513234,-0.209925,1.82786,-nan,-nan,-nan
132,0,0.471797,-0.21245,1.841,-nan,-nan,-nan
133,0,-nan,-nan,-nan,-nan,-nan,-nan
134,0,-nan,-nan,-nan,-nan,-nan,-nan
135,0,-nan,-nan,-nan,-nan,-nan,-nan
137,0,0.470158,-0.21228,1.83183,-nan,-nan,-nan
138,0,-nan,-nan,-nan,-nan,-nan,-nan
139,0,-nan,-nan,-nan,-nan,-nan,-nan
140,0,-nan,-nan,-nan,-nan,-nan,-nan
141,0,-nan,-nan,-nan,-nan,-nan,-nan
142,0,-nan,-nan,-nan,-nan,-nan,-nan
144,0,-nan,-nan,-nan,-nan,-nan,-nan
145,0,0.470186,-0.211709,1.84188,-nan,-nan,-nan
146,0,-nan,-nan,-nan,-nan,-nan,-nan
147,0,0.510805,-0.210019,1.82911,-nan,-nan,-nan
148,0,0.469836,-0.211309,1.86443,-nan,-nan,-nan
149,0,0.470909,-0.209822,1.843,-nan,-nan,-nan
151,0,-nan,-nan,-nan,-nan,-nan,-nan
