0,-0.00485537,0.927841,-0.372944,-0.945782,	0.111578,-0.439062,1.449,	0.22102,-0.449855,1.419,	-0.00518027,-0.427718,1.48
0,0.0133226,0.974834,-0.222532,-0.745446,	0.118052,-0.425332,1.499,	0.234424,-0.439278,1.425,	-0.0137119,-0.408947,1.567
0,0.0253368,0.965624,-0.258706,-0.796023,	0.139867,-0.427718,1.48,	0.251881,-0.449261,1.425,	 0.0164543,-0.411691,1.567
0,-0.00608898,0.965041,-0.262028,-0.800622,	0.107056,-0.425959,1.492,	0.205358,-0.443634,1.431,	-0.00273014,-0.40712,1.56
0,0.0214239,0.968409,-0.248446,-0.780547,	0.124326,-0.425125,1.48,	0.227898,-0.441127,1.431,	 0.0134669,-0.407031,1.539
1,0.00415623,0.94676,-0.321912,-0.890373,	-0.0317465,-0.3209,1.814,	0.0433181,-0.334439,1.768,	-0.112044,-0.306722,1.883
1,0.0309484,0.952641,-0.302518,-0.855084,	-0.0315715,-0.319131,1.804,	0.0433181,-0.334439,1.768,	-0.111449,-0.305093,1.873
1,0.00376429,0.977082,-0.212828,-0.697302,	-0.0319215,-0.31628,1.824,	0.0439797,-0.330115,1.795,	-0.111449,-0.301812,1.873
1,0.0172195,0.95127,-0.307879,-0.863593,	-0.0284144,-0.319131,1.804,	0.046176,-0.332737,1.759,	-0.108171,-0.305093,1.873
1,0.0514614,0.944569,-0.324256,-0.893728,	-0.0317465,-0.317723,1.814,	0.0433181,-0.334439,1.768,	-0.111449,-0.301812,1.873
